Id,Name,hed__Course_ID__c
a0C8c00000XMMk7EAH,GAP - DFC IV,EP3515
a0C8c00000XMMk9EAH,GAP - DFC IX,EP3520
a0C8c00000XMMkAEAX,GAP - DFC IX,EP7520
a0C8c00000XMMkBEAX,GAP - DFC V,EP3516
a0C8c00000XMMkCEAX,GAP - DFC V,EP7516
a0C8c00000XMMkEEAX,GAP - DFC VI,EP7517
a0C8c00000XMMkDEAX,GAP - DFC VI,EP3517
a0C8c00000XMMkGEAX,GAP - DFC VII,EP7518
a0C8c00000XMMkFEAX,GAP - DFC VII,EP3518
a0C8c00000XMMkHEAX,GAP - DFC VIII,EP3519
a0C8c00000XMMkIEAX,GAP - DFC VIII,EP7519
a0C8c00000XMMkKEAX,GAP - DFC X,EP7521
a0C8c00000XMMkJEAX,GAP - DFC X,EP3521
a0C8c00000XMMaqEAH,GAP - Impact Jeunesse,EP3526
a0C8c00000XMMaXEAX,GAP I - concentration EI,CEI301
a0C8c00000XMMaYEAX,GAP II - concentration EI,CEI302
a0C8c00000XMMaZEAX,GAP III - concentration EI,CEI303
a0C8c00000XMMaaEAH,GAP IV - concentration EI,CEI304
a0C8c00000XMMcXEAX,GAP V - concentration EI,CEI305
a0C8c00000XMMcYEAX,GAP VI - concentration EI,CEI306
a0C8c00000XMMcZEAX,GAP VII - concentration EI,CEl307
a0C8c00000XMMkMEAX,Genèse,AT6120
a0C8c00000XMMkLEAX,Genèse,AT2120
a0C8c00000XMMa8EAH,Gestion de vie,EP2216
a0C8c00000XMMbwEAH,Gestion de vie et coaching,EP2215
a0C8c00000XMMkOEAX,Gestion des conflits dans l'Église,EP6513
a0C8c00000XMMbBEAX,Gestion des conflits dans l'Église,EP9113
a0C8c00000XMMkNEAX,Gestion des conflits dans l'Église,EP2513
a0C8c00000XMMkPEAX,Gestion préventive des abus,EP3543
a0C8c00000XMMkQEAX,Gestion préventive des abus,EP7543
a0C8c00000XMMZtEAP,Grands discours de Jésus,NT2204
a0C8c00000XMMbJEAX,Grec II,LA9131
a0C8c00000XMMbKEAX,Grec III,LA9132
a0C8c00000XMMd2EAH,Groupes,IMS606
a0C8c00000XMMd4EAH,Grâce,IMS608
a0C8c00000XMMa9EAH,Gérer sa vie,EP5518a
a0C8c00000XMMbxEAH,Gérer sa vie et coaching,EP5518
a0CON00000vSGlg2AG,Hebrew Exegesis I,LA6741E
a0CON00000vSKNt2AO,Hebrew Exegesis I,LA2741E
a0C8c00000XMMZhEAP,Herméneutique et innerance,TS7305
a0C8c00000XMMdBEAX,Histoire,IMS706
a0C8c00000XMMX7EAP,Histoire de l'A.T.,AT5100
a0C8c00000XMMkSEAX,Histoire de l'aumônerie,HP7305
a0C8c00000XMMkREAX,Histoire de l'aumônerie,HP3305
a0C8c00000XMMbrEAH,Histoire de l'Église (recherche et enseignement),HP9220
a0C8c00000XMMkTEAX,Histoire de l'Église I,HP1401
a0C8c00000XMMkVEAX,Histoire de l'Église I,HP5401
a0C8c00000XMMdGEAX,Histoire de l'Église I,HP6401
a0C8c00000XMMkYEAX,Histoire de l'Église II,HP5402
a0C8c00000XMMkWEAX,Histoire de l'Église II,HP1402
a0C8c00000XMMkZEAX,Histoire de l'Église III,HP1403
a0C8c00000XMMkaEAH,Histoire de l'Église III,HP5403
a0C8c00000XMMYUEA5,Histoire de l'Église IV,HP1404
a0C8c00000YJgiXEAT,Histoire de l'Église IV,HP5404
a0C8c00000XMMkcEAH,Histoire de la femme dans l'Église,HP8407
a0C8c00000XMMkbEAH,Histoire de la femme dans l'Église,HP4407
a0C8c00000XMMkdEAH,Histoire de la théologie,TS4410
a0C8c00000XMMkeEAH,Histoire de la théologie,TS8410
a0C8c00000YJezlEAD,Homilétique I,EP5501
a0C8c00000XMMXGEA5,Homilétique I,EP1501
a0C8c00000XMMXHEA5,Homilétique II,EP1502
a0C8c00000YJgiKEAT,Homilétique II,EP5502
a0C8c00000XMMXZEA5,Homilétique III,EP2503
a0C8c00000YJezuEAD,Homilétique III,EP6503
a0C8c00000YJezwEAD,Homilétique III,EP9103
a0C8c00000XMMcwEAH,Humilité,IMS508
a0C8c00000XMMbbEAH,I Corinthiens,NT7215a
a0C8c00000XMMbdEAH,I Thessaloniciens,NT1204
a0C8c00000XMMctEAH,Incarnation,IMS505
a0C8c00000YK1qhEAD,Incarner l'espérance,CBE207
a0C8c00000XMMcUEAX,Influente dans sa communauté (pour femme),EP2523
a0C8c00000YJgiLEAT,Influente dans sa communauté (pour femme),EP5523
a0C8c00000XMMYREA5,Init. langue grecque (trans.),GRE1602
a0C8c00000XMMkpEAH,Initiation au grec biblique I,LA5731
a0C8c00000XMMkoEAH,Initiation au grec biblique I,LA1731
a0C8c00000XMMbIEAX,Initiation au Grec biblique I et II,LA9730
a0C8c00000YJgiZEAT,Initiation au grec biblique I et II,LA5730
a0C8c00000XMMYjEAP,Initiation au grec biblique I et II,LA1730
a0C8c00000XMMkqEAH,Initiation au grec biblique II,LA1732
a0C8c00000XMMkrEAH,Initiation au grec biblique II,LA5732
a0C8c00000YJgiHEAT,Initiation interprétation biblique,BI6110
a0C8c00000XMMXAEA5,Initiation interprétation biblique,BI2110
a0C8c00000XMMkfEAH,Initiation à l'hébreu biblique I,LA1741
a0C8c00000XMMkgEAH,Initiation à l'hébreu biblique I,LA5741
a0C8c00000XMMbHEAX,Initiation à l'hébreu biblique I,LA9741
a0C8c00000YI7LcEAL,Initiation à l'hébreu biblique I - Intensif,LA1761
a0C8c00000YI7LrEAL,Initiation à l'hébreu biblique I - Intensif,LA5761
a0C8c00000XMMkiEAH,Initiation à l'hébreu biblique I et II,LA5740
a0C8c00000XMMkhEAH,Initiation à l'hébreu biblique I et II,LA1740
a0C8c00000XMMkjEAH,Initiation à l'hébreu biblique II,LA1742
a0C8c00000XMMbLEAX,Initiation à l'hébreu biblique II,LA9742
a0C8c00000XMMkkEAH,Initiation à l'hébreu biblique II,LA5742
a0C8c00000YI7LhEAL,Initiation à l'hébreu biblique II - Intensif,LA1762
a0C8c00000YI7LnEAL,Initiation à l'hébreu biblique II - Intensif,LA5762
a0C8c00000XMMklEAH,Initiation à l'hébreu biblique III,LA1743
a0C8c00000XMMknEAH,Initiation à l'hébreu biblique III,LA9743
a0C8c00000XMMkmEAH,Initiation à l'hébreu biblique III,LA5743
a0C8c00000YI7LwEAL,Initiation à l'hébreu biblique III - Intensif,LA5763
a0C8c00000YI7LmEAL,Initiation à l'hébreu biblique III - Intensif,LA1763
a0C8c00000XMMahEAH,Initiation à l'étude biblique,BI2110a
a0C8c00000XMMZLEA5,Initiation à la recherche,RE1800
a0C8c00000YJgifEAD,Initiation à la recherche,RE5800
a0C8c00000XMMX6EAP,Institutions dans A.T.,AT4101
a0C8c00000XMMXsEAP,Instruct. Chrét. (entraide),EP3510
a0CON00001RRXlp2AH,Internat stage pastoral (Shawinigan-Sud),EP3529
a0C8c00000XMMktEAH,Interprétation avancée : Actes à Apocalypse,NT8202
a0C8c00000XMMksEAH,Interprétation avancée : Actes à Apocalypse,NT4202
a0C8c00000XMMkuEAH,Interprétation avancée : Actes à Apocalypse,NT9202
a0C8c00000XMMcJEAX,Interprétation biblique (Counseling),EP9553
a0C8c00000XMMkwEAH,Interprétation de Romains (1-8),NT6210a
a0C8c00000XMMcDEAX,Interprétation de Romains (1-8),NT9220a
a0C8c00000XMMkvEAH,Interprétation de Romains (1-8),NT2210a
a0C8c00000XMMkzEAH,Interprétation de Romains (9-16),NT9610b
a0C8c00000XMMkyEAH,Interprétation de Romains (9-16),NT6210b
a0C8c00000XMMkxEAH,Interprétation de Romains (9-16),NT2210b
a0C8c00000XMMcdEAH,Interprétation des Paraboles,NT2004
a0C8c00000YK1qqEAD,Interpréter la Bible,CBE311
a0C8c00000XMMl1EAH,Interpréter le Pentateuque et les Livres historiques,AT6211
a0C8c00000XMMl0EAH,Interpréter le Pentateuque et les Livres historiques,AT2211
a0C8c00000YK1qkEAD,Interpréter le Pentateuque et les livres historiques,CBE211
a0C8c00000XMMl7EAH,"Interpréter les poètes, sages et prophètes",AT6212
a0C8c00000XMMl6EAH,"Interpréter les poètes, sages et prophètes",AT2212
a0C8c00000YK1qlEAD,"Interpréter les poètes, sages et prophètes",CBE212
a0C8c00000YK1qmEAD,Interpréter les Évangiles,CBE213
a0C8c00000XMMl5EAH,Interpréter les Évangiles,NT6213
a0C8c00000XMMl4EAH,Interpréter les Évangiles,NT2213
a0C8c00000XMMl3EAH,Interpréter les épîtres,NT6111
a0C8c00000XMMl2EAH,Interpréter les épîtres,NT2111
